"role","download_status","oa_status","oa_url","pdf_path","year","title","source","doi","doi_url","first_author_evidence","corresponding_author_evidence","openalex_id"
"corresponding_author","pdf-needed","gold","https://doi.org/10.1080/10872981.2026.2675066","data/pdfs/2026-measuring-ai-literacy-in-medical-students-scale-development-and-validation-within-a--10_1080_10872981_2026_2675066.pdf","2026","Measuring AI literacy in medical students: scale development and validation within a self-determination theory framework","Medical Education Online","10.1080/10872981.2026.2675066","https://doi.org/10.1080/10872981.2026.2675066","Hung‐Che Lin","OpenAlex marks Ching Sing Chai as corresponding author.","https://openalex.org/W7162083039"
"corresponding_author","pdf-needed","gold","https://doi.org/10.1371/journal.pone.0315011","data/pdfs/2025-higher-education-students-perceptions-of-chatgpt-a-global-study-of-early-reactions-10_1371_journal_pone_0315011.pdf","2025","Higher education students’ perceptions of ChatGPT: A global study of early reactions","PLoS ONE","10.1371/journal.pone.0315011","https://doi.org/10.1371/journal.pone.0315011","Dejan Ravšelj","OpenAlex marks Ching Sing Chai as corresponding author.","https://openalex.org/W4407172847"
"first_author","pdf-needed","gold","https://journals.sagepub.com/doi/pdf/10.1177/21582440241242188","data/pdfs/2024-development-and-validation-of-the-artificial-intelligence-learning-intention-scale-a-10_1177_21582440241242188.pdf","2024","Development and Validation of the Artificial Intelligence Learning Intention Scale (AILIS) for University Students","SAGE Open","10.1177/21582440241242188","https://doi.org/10.1177/21582440241242188","Ching Sing Chai","","https://openalex.org/W4394718136"
"first_author","pdf-needed","","","data/pdfs/2023-a-survey-study-of-chinese-teachers-continuous-intentions-to-teach-artificial-intelli-10_1007_s10639_023_12430_z.pdf","2023","A survey study of chinese teachers’ continuous intentions to teach artificial intelligence","Education and Information Technologies","10.1007/s10639-023-12430-z","https://doi.org/10.1007/s10639-023-12430-z","Ching Sing Chai","","https://openalex.org/W4390448206"
"first_author","pdf-needed","gold","https://www.mdpi.com/2071-1050/15/1/605/pdf?version=1672811821","data/pdfs/2022-modeling-chinese-secondary-school-students-behavioral-intentions-to-learn-artificial-10_3390_su15010605.pdf","2022","Modeling Chinese Secondary School Students’ Behavioral Intentions to Learn Artificial Intelligence with the Theory of Planned Behavior and Self-Determination Theory","Sustainability","10.3390/su15010605","https://doi.org/10.3390/su15010605","Ching Sing Chai","","https://openalex.org/W4313317172"
"first_author","pdf-needed","green","https://doaj.org/article/4d0fdac761f447c48c0b6379dba3cbb9","data/pdfs/2021-perceptions-of-and-behavioral-intentions-towards-learning-artificial-intelligence-in-https_openalex_org_W4287105931.pdf","2021","Perceptions of and Behavioral Intentions towards Learning Artificial Intelligence in Primary School Students","DOAJ (DOAJ: Directory of Open Access Journals)","","","Ching Sing Chai","","https://openalex.org/W4287105931"
"first_author","pdf-saved","gold","https://www.frontiersin.org/articles/10.3389/fpsyg.2021.581193/pdf","data/pdfs/2021-intrinsic-motivation-and-sophisticated-epistemic-beliefs-are-promising-pathways-to-s-10_3389_fpsyg_2021_581193.pdf","2021","Intrinsic Motivation and Sophisticated Epistemic Beliefs Are Promising Pathways to Science Achievement: Evidence From High Achieving Regions in the East and the West","Frontiers in Psychology","10.3389/fpsyg.2021.581193","https://doi.org/10.3389/fpsyg.2021.581193","Ching Sing Chai","","https://openalex.org/W3132920147"
"first_author","pdf-needed","gold","https://www.mdpi.com/2227-7390/8/11/2089/pdf?version=1606390902","data/pdfs/2020-an-extended-theory-of-planned-behavior-for-the-modelling-of-chinese-secondary-school-10_3390_math8112089.pdf","2020","An Extended Theory of Planned Behavior for the Modelling of Chinese Secondary School Students’ Intention to Learn Artificial Intelligence","Mathematics","10.3390/math8112089","https://doi.org/10.3390/math8112089","Ching Sing Chai","","https://openalex.org/W3110261028"
"first_author","pdf-needed","gold","https://www.mdpi.com/2071-1050/12/21/9050/pdf?version=1604063469","data/pdfs/2020-indonesian-science-mathematics-and-engineering-preservice-teachers-experiences-in-st-10_3390_su12219050.pdf","2020","Indonesian Science, Mathematics, and Engineering Preservice Teachers’ Experiences in STEM-TPACK Design-Based Learning","Sustainability","10.3390/su12219050","https://doi.org/10.3390/su12219050","Ching Sing Chai","","https://openalex.org/W3097618032"
"first_author","pdf-needed","","","data/pdfs/2020-factors-influencing-students-behavioral-intention-to-continue-artificial-intelligenc-10_1109_iset49818_2020_00040.pdf","2020","Factors Influencing Students' Behavioral Intention to Continue Artificial Intelligence Learning","","10.1109/iset49818.2020.00040","https://doi.org/10.1109/iset49818.2020.00040","Ching Sing Chai","","https://openalex.org/W3092083327"
"first_author","pdf-needed","","","data/pdfs/2020-surveying-chinese-teachers-technological-pedagogical-stem-knowledge-a-pilot-validati-10_1504_ijmlo_2020_106181.pdf","2020","Surveying Chinese teachers' technological pedagogical STEM knowledge: a pilot validation of STEM-TPACK survey","International Journal of Mobile Learning and Organisation","10.1504/ijmlo.2020.106181","https://doi.org/10.1504/ijmlo.2020.106181","Ching Sing Chai","","https://openalex.org/W4235580641"
"first_author","pdf-needed","green","https://doaj.org/article/ed1ba51d413e4f2c9421ccd49d18103e","data/pdfs/2019-validating-and-modelling-teachers-technological-pedagogical-content-knowledge-for-in-https_openalex_org_W3025508364.pdf","2019","Validating and Modelling Teachers’ Technological Pedagogical Content Knowledge for Integrative Science, Technology, Engineering and Mathematics Education","DOAJ (DOAJ: Directory of Open Access Journals)","","","Ching Sing Chai","","https://openalex.org/W3025508364"
"first_author","pdf-needed","","","data/pdfs/2019-technological-pedagogical-and-content-knowledge-21st-century-quality-learning-survey-10_1037_t77087_000.pdf","2019","Technological, Pedagogical, and Content Knowledge-21st Century Quality Learning Survey","PsycTESTS Dataset","10.1037/t77087-000","https://doi.org/10.1037/t77087-000","Ching Sing Chai","","https://openalex.org/W4251921495"
"first_and_corresponding","pdf-needed","","","data/pdfs/2018-teacher-professional-development-for-science-technology-engineering-and-mathematics--10_1007_s40299_018_0400_7.pdf","2018","Teacher Professional Development for Science, Technology, Engineering and Mathematics (STEM) Education: A Review from the Perspectives of Technological Pedagogical Content (TPACK)","The Asia-Pacific Education Researcher","10.1007/s40299-018-0400-7","https://doi.org/10.1007/s40299-018-0400-7","Ching Sing Chai","OpenAlex marks Ching Sing Chai as corresponding author.","https://openalex.org/W2885811893"
"first_and_corresponding","pdf-needed","","","data/pdfs/2018-enhancing-and-modeling-teachers-design-beliefs-and-efficacy-of-technological-pedagog-10_1177_0735633117752453.pdf","2018","Enhancing and Modeling Teachers’ Design Beliefs and Efficacy of Technological Pedagogical Content Knowledge for 21st Century Quality Learning","Journal of Educational Computing Research","10.1177/0735633117752453","https://doi.org/10.1177/0735633117752453","Ching Sing Chai","OpenAlex marks Ching Sing Chai as corresponding author.","https://openalex.org/W2790165648"
"first_and_corresponding","pdf-needed","bronze","https://www.tandfonline.com/doi/pdf/10.1080/23735082.2017.1360506?needAccess=true","data/pdfs/2017-changing-teachers-tpack-and-design-beliefs-through-the-scaffolded-tpack-lesson-desig-10_1080_23735082_2017_1360506.pdf","2017","Changing teachers’ TPACK and design beliefs through the Scaffolded TPACK Lesson Design Model (STLDM)","Learning Research and Practice","10.1080/23735082.2017.1360506","https://doi.org/10.1080/23735082.2017.1360506","Ching Sing Chai","OpenAlex marks Ching Sing Chai as corresponding author.","https://openalex.org/W2746628399"
"corresponding_author","pdf-needed","bronze","https://www.tandfonline.com/doi/pdf/10.1080/23735082.2017.1360631?needAccess=true","data/pdfs/2017-the-learning-revolution-from-pedagogues-to-designers-of-learning-10_1080_23735082_2017_1360631.pdf","2017","The learning revolution: from pedagogues to designers of learning","Learning Research and Practice","10.1080/23735082.2017.1360631","https://doi.org/10.1080/23735082.2017.1360631","Salleh Hairon","OpenAlex marks Ching Sing Chai as corresponding author.","https://openalex.org/W2746718638"
"first_author","pdf-needed","","","data/pdfs/2017-surveying-indonesian-teachers-design-belief-and-tpack-for-21st-century-oriented-lear-https_openalex_org_W2784342987.pdf","2017","Surveying Indonesian teachers’ design belief and TPACK for 21st century oriented learning","","","","Ching Sing Chai","","https://openalex.org/W2784342987"
