"role","download_status","pdf_path","year","title","source","doi","doi_url","open_access","oa_url","wos_accession","first_author_evidence","corresponding_author_evidence","source_file"
"corresponding_author","pdf-saved","data/pdfs/2026-from-disengaged-to-self-determined-a-latent-transition-analysis-of-students-ai-learn-10_1007_s10639_026_13998_y.pdf","2026","From disengaged to self-determined: A latent transition analysis of students' AI learning motivation","EDUCATION AND INFORMATION TECHNOLOGIES","10.1007/s10639-026-13998-y","https://doi.org/10.1007/s10639-026-13998-y","hybrid","https://link.springer.com/content/pdf/10.1007/s10639-026-13998-y.pdf","WOS:001756654400001","Liang, Siya","Sing, CC (corresponding author), Chinese Univ Hong Kong, Fac Educ, Shatin, Hong Kong, Peoples R China.","chai_ching_sing_wos_2026-07-07_full-records-citedrefs_259.tsv"
"corresponding_author","pdf-saved","data/pdfs/2025-enhancing-stem-outcomes-through-mentorship-mis-matching-an-identity-grafting-approac-10_1186_s40594_025_00556_0.pdf","2025","Enhancing STEM outcomes through mentorship (Mis)matching: an identity grafting approach","INTERNATIONAL JOURNAL OF STEM EDUCATION","10.1186/s40594-025-00556-0","https://doi.org/10.1186/s40594-025-00556-0","Green Submitted, gold","https://stemeducationjournal.springeropen.com/counter/pdf/10.1186/s40594-025-00556-0","WOS:001529881500001","Lee, Daphnee Hui Lin","Lee, DHL; Chai, CS (corresponding author), Chinese Univ Hong Kong, Hong Kong, Peoples R China.","chai_ching_sing_wos_2026-07-07_full-records-citedrefs_259.tsv"
"first_author","pdf-saved","data/pdfs/2024-development-and-validation-of-the-artificial-intelligence-learning-intention-scale-a-10_1177_21582440241242188.pdf","2024","Development and Validation of the Artificial Intelligence Learning Intention Scale (AILIS) for University Students","SAGE OPEN","10.1177/21582440241242188","https://doi.org/10.1177/21582440241242188","gold","https://journals.sagepub.com/doi/pdf/10.1177/21582440241242188","WOS:001200565800001","Chai, Ching Sing","Zhou, Y (corresponding author), Beijing Normal Univ, Fac Educ, Sch Educ Technol, 19 Xinjiekouwai St, Beijing 100875, Peoples R China.","chai_ching_sing_wos_2026-07-07_full-records-citedrefs_259.tsv"
"first_author","pdf-saved","data/pdfs/2024-a-survey-study-of-chinese-teachers-continuous-intentions-to-teach-artificial-intelli-10_1007_s10639_023_12430_z.pdf","2024","A survey study of chinese teachers' continuous intentions to teach artificial intelligence","EDUCATION AND INFORMATION TECHNOLOGIES","10.1007/s10639-023-12430-z","https://doi.org/10.1007/s10639-023-12430-z","","","WOS:001131966400002","Chai, Ching Sing","Wang, XW (corresponding author), Tsinghua Univ, Sch Environm, Beijing 100084, Peoples R China.","chai_ching_sing_wos_2026-07-07_full-records-citedrefs_259.tsv"
"first_author","pdf-saved","data/pdfs/2023-modeling-chinese-secondary-school-students-behavioral-intentions-to-learn-artificial-10_3390_su15010605.pdf","2023","Modeling Chinese Secondary School Students' Behavioral Intentions to Learn Artificial Intelligence with the Theory of Planned Behavior and Self-Determination Theory","SUSTAINABILITY","10.3390/su15010605","https://doi.org/10.3390/su15010605","Green Submitted, gold","https://www.mdpi.com/2071-1050/15/1/605/pdf?version=1672811821","WOS:000908971100001","Chai, Ching Sing","Lin, XF (corresponding author), South China Normal Univ, Sch Educ Informat Technol, Guangzhou 510631, Peoples R China.; Lin, XF (corresponding author), Guangdong Engn Technol Res Ctr Smart Learning, Guangzhou 510631, Peoples R China.; Lin, XF (corresponding author), Guangdong Prov Inst Elementary Educ & Informat Tec, G","chai_ching_sing_wos_2026-07-07_full-records-citedrefs_259.tsv"
"first_author","pdf-saved","data/pdfs/2022-secondary-school-students-intentions-to-learn-ai-testing-moderation-effects-of-readi-10_1007_s11423_022_10111_1.pdf","2022","Secondary school students' intentions to learn AI: testing moderation effects of readiness, social good and optimism","ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT","10.1007/s11423-022-10111-1","https://doi.org/10.1007/s11423-022-10111-1","","","WOS:000819689700001","Sing, Chai Ching","Huang, F (corresponding author), Qingdao Univ, Sch Foreign Languages, Qingdao, Peoples R China.","chai_ching_sing_wos_2026-07-07_full-records-citedrefs_259.tsv"
"first_author","pdf-saved","data/pdfs/2021-perceptions-of-and-behavioral-intentions-towards-learning-artificial-intelligence-in-WOS_000669522300007.pdf","2021","Perceptions of and Behavioral Intentions towards Learning Artificial Intelligence in Primary School Students","EDUCATIONAL TECHNOLOGY & SOCIETY","","","","","WOS:000669522300007","Chai, Ching Sing","Jong, MSY (corresponding author), Chinese Univ Hong Kong, Dept Curriculum & Instruct, Hong Kong, Peoples R China.; Jong, MSY (corresponding author), Chinese Univ Hong Kong, Ctr Learning Sci & Technol, Hong Kong, Peoples R China.","chai_ching_sing_wos_2026-07-07_full-records-citedrefs_259.tsv"
"first_author","pdf-saved","data/pdfs/2021-intrinsic-motivation-and-sophisticated-epistemic-beliefs-are-promising-pathways-to-s-10_3389_fpsyg_2021_581193.pdf","2021","Intrinsic Motivation and Sophisticated Epistemic Beliefs Are Promising Pathways to Science Achievement: Evidence From High Achieving Regions in the East and the West","FRONTIERS IN PSYCHOLOGY","10.3389/fpsyg.2021.581193","https://doi.org/10.3389/fpsyg.2021.581193","Green Submitted, gold","https://www.frontiersin.org/articles/10.3389/fpsyg.2021.581193/pdf","WOS:000626110000001","Chai, Ching Sing","Lin, PY (corresponding author), Natl Kaohsiung Normal Univ, Dept Educ, Kaohsiung, Taiwan.","chai_ching_sing_wos_2026-07-07_full-records-citedrefs_259.tsv"
"first_author","pdf-saved","data/pdfs/2020-an-extended-theory-of-planned-behavior-for-the-modelling-of-chinese-secondary-school-10_3390_math8112089.pdf","2020","An Extended Theory of Planned Behavior for the Modelling of Chinese Secondary School Students' Intention to Learn Artificial Intelligence","MATHEMATICS","10.3390/math8112089","https://doi.org/10.3390/math8112089","Green Submitted, gold","https://www.mdpi.com/2227-7390/8/11/2089/pdf?version=1606390902","WOS:000593423200001","Chai, Ching Sing","Wang, XW (corresponding author), China Univ Petr East China, Coll Control Sci & Engn, Qingdao 266580, Peoples R China.; Xu, C (corresponding author), Beijing Normal Univ, Fac Educ, Beijing 100875, Peoples R China.","chai_ching_sing_wos_2026-07-07_full-records-citedrefs_259.tsv"
"first_author","pdf-saved","data/pdfs/2020-indonesian-science-mathematics-and-engineering-preservice-teachers-experiences-in-st-10_3390_su12219050.pdf","2020","Indonesian Science, Mathematics, and Engineering Preservice Teachers' Experiences in STEM-TPACK Design-Based Learning","SUSTAINABILITY","10.3390/su12219050","https://doi.org/10.3390/su12219050","Green Submitted, gold","https://www.mdpi.com/2071-1050/12/21/9050/pdf?version=1604063469","WOS:000593563600001","Chai, Ching Sing","Jong, MSY (corresponding author), Chinese Univ Hong Kong, Dept Curriculum & Instruct, Shatin, Hong Kong, Peoples R China.; Jong, MSY (corresponding author), Chinese Univ Hong Kong, Ctr Learning Sci & Technol, Shatin, Hong Kong, Peoples R China.; Rahmawati, Y (corresponding author), Univ Negeri Jakarta, Dept Chem Educ, ","chai_ching_sing_wos_2026-07-07_full-records-citedrefs_259.tsv"
